id|user|league|admin
1| ||True
2|| |False
3|||False
4|||True
5| | |True
6| | |True
7| ||True
8| ||True
9| ||False
10| | |True
11|| |False
12| ||False
13| | |True
14| ||False
15| ||True
16|||False
17|||False
18| | |False
19|||False
20|| |True
21|| |True
22| | |True
23|||False
24|| |True
25| | |True
26|| |False
27| ||True
28|| |False
29| ||False
30| ||True
31|||True
32| | |False
33| ||False
34| | |False
35| | |True
36| | |True
37| | |True
38|| |False
39| ||True
40| | |False
41|||False
42|| |False
43|||False
44|| |False
45| ||True
46|| |False
47|| |True
48| ||True
49|||False
50| | |False
51|| |False
52| | |False
53|| |True
54| ||True
55|||True
56| ||True
57| ||False
58|| |True
59| ||True
60| ||False
61| ||True
62|||True
63|| |True
64|||True
65|||False
66|||False
67| | |False
68|||False
69| ||False
70| ||False
71| | |True
72|||True
73| ||False
74|| |False
75| | |True
76| ||True
77| ||False
78| | |False
79| | |True
80|||False
81| | |False
82| | |False
83| ||True
84|||False
85|| |False
86|||True
87|| |True
88| ||True
89|| |True
90| | |False
91|||False
92|||True
93| ||False
94|||False
95| ||False
96| | |True
97| ||False
98| ||False
99|||True
100| | |False